City,Temperature,Happiness Score
"Las Vegas, NV",22.25,48.96
"Indianapolis, IN",11.916666666666666,48.95
"Louisville, KY",13,48.35
"Milwaukee, WI",9.25,48.19
"New Orleans, LA",17.75,47.64
"Wilmington, DE",11.75,47.36
"Montgomery, AL",17.833333333333332,46.79
"Baltimore, MD",12.833333333333334,46.76
"Jackson, MS",17.75,46.64
"Baton Rouge, LA",18.75,46.62
"Philadelphia, PA",11.916666666666666,46.23
"Shreveport, LA",17.833333333333332,45.6
"Columbus, GA",17.916666666666668,45.24
"Cincinnati, OH",12.5,44.79
"Newark, NJ",11.25,44.15
"Tulsa, OK",15.75,44.14
"Akron, OH",10.916666666666666,43.54
"St. Louis, MO",13.416666666666666,43.44
"Memphis, TN",15.583333333333334,43.42
"Mobile, AL",18.833333333333332,42.15
"Little Rock, AR",16.333333333333332,42.15
"Augusta, GA",16.833333333333332,42.02
"Birmingham, AL",17,41.43
"Gulfport, MS",19.083333333333332,41.42
"Cleveland, OH",10.5,39.36
"Huntington, WV",12.833333333333334,39.09
"Toledo, OH",10.416666666666666,37.99
"Charleston, WV",13.083333333333334,36.21
"Detroit, MI",10.25,29.06
